shuffle_0,shuffle_1,shuffle_2,shuffle_3,shuffle_4,shuffle_5,shuffle_6,shuffle_7,shuffle_8,shuffle_9,shuffle_10,shuffle_11,shuffle_12,shuffle_13,shuffle_14,shuffle_15,shuffle_16,shuffle_17,shuffle_18,shuffle_19,shuffle_20,shuffle_21,shuffle_22,shuffle_23,shuffle_24,shuffle_25,shuffle_26,shuffle_27,shuffle_28,shuffle_29,shuffle_30,shuffle_31,shuffle_32,shuffle_33,shuffle_34,shuffle_35,shuffle_36,shuffle_37,shuffle_38,shuffle_39,shuffle_40,shuffle_41,shuffle_42,shuffle_43,shuffle_44,shuffle_45,shuffle_46,shuffle_47,shuffle_48,shuffle_49
4.937904,-0.43220592,-7.8189015,4.753347,4.115638,-1.4291475,2.4359102,-8.9274025,2.8470302,-1.9616169,6.2371535,2.3357127,-0.030167066,1.5342686,2.3096848,-6.779414,2.728353,1.7123512,4.206073,-3.0106354,-0.07109784,1.1221657,-7.8262277,0.8328179,0.9377036,-60.678516,2.182202,1.9203537,1.8989911,-2.5426564,1.7634122,2.1180162,-25.34284,2.5279937,2.8061779,-5.7745953,1.4047937,3.279502,4.4288163,5.714407,-6.4275804,2.4863772,1.1114672,4.1742415,4.433756,2.1204572,2.0784042,1.8426394,2.473887,0.8502283
3.5200071,-3.7003253,0.3714871,1.9921861,3.8407078,2.7541704,2.5759058,2.7297683,3.5495455,2.3519483,-18.597595,-2.029,0.39972436,3.6594453,0.98428535,2.6071205,3.6379998,-1.6658914,2.420958,0.64005053,-12.1536,-1.9428084,1.244404,2.451971,0.5301161,3.3649197,-16.223867,2.0303211,-1.338773,2.5640733,2.9744081,2.1220388,2.9745288,3.2734342,2.6111717,-1.1795504,2.79916,3.7563825,-0.1920526,3.00959,-0.87600005,1.9624178,1.5325305,1.7600286,2.6747782,3.0889533,-1.2887399,2.4929261,-12.159304,3.8714168
1.5786804,-1.2615902,-13.807398,2.458568,2.095333,-4.7604127,3.748806,3.2734437,-3.2880964,2.2781134,4.8030105,-0.20657891,13.0887985,2.6229258,3.172143,2.66924,1.8959945,11.877394,2.3782363,0.8802973,1.6891978,1.4879174,1.9590697,11.174422,0.20045495,3.7890682,3.8399723,1.7113045,1.6397836,-6.089155,4.79681,1.5549264,1.3339839,1.9537594,-14.888089,2.6359515,2.9210663,11.774059,8.234933,2.7029405,1.8209922,3.2069156,-2.2170498,1.6687597,3.8941178,2.9644372,2.7314372,1.5372431,0.637079,-0.1256054
3.551494,2.0808516,3.3193052,2.601984,2.5134766,2.0841842,2.3893461,3.4892287,0.5490124,1.4731263,-0.020005368,3.6424687,2.1249588,3.5341542,1.9221246,4.8656545,2.0292373,3.1937413,2.2618124,1.460107,-4.3694954,3.7317777,1.3857065,2.4947188,1.1603427,-0.5298849,3.6609614,2.447559,-0.6217495,3.601669,2.5507476,1.155376,3.4176354,1.8085971,3.3518052,-31.75487,2.09363,4.0455966,-1.3264189,1.8765265,5.9474936,0.2814875,1.4396644,0.085987695,2.2196372,4.697238,4.1998053,2.5276299,1.8245724,4.399151
3.4150107,0.5290927,2.1816373,-2.4927566,4.052246,1.249372,-0.9539601,2.552153,2.5631194,1.7542866,2.6028605,1.7528768,12.690989,3.9783783,4.1188426,5.23673,-0.623945,2.4297726,2.4682527,2.1490896,-0.24909636,1.6131577,2.4068546,-0.30851042,1.7044137,2.9866815,1.078737,4.4349914,-0.44082788,1.9835443,1.4804094,-4.28616,2.420599,2.3216395,2.7451806,1.7480986,1.5489001,-2.596789,4.415403,-3.7111812,1.2901008,1.2941521,1.5227334,1.3530154,3.412578,0.46971154,2.9505775,1.819258,4.8089824,-1.4206445
2.1298387,1.899217,-1.7188356,-3.872614,4.049002,1.7599819,-1.2411504,-0.3168938,1.6550826,0.4033214,-2.2879817,1.9356093,1.294755,1.1715815,-2.4647412,-0.011092909,3.3737009,1.1427084,0.6594793,0.9811132,1.0249476,0.78547645,1.4788448,1.8068438,-2.639323,2.5029144,1.2063966,3.4014294,1.7062607,-5.9279823,1.7073706,-0.23342523,0.8491786,-0.27945897,0.23779333,-5.023803,1.3933787,1.5337619,1.603903,2.4109197,4.2226577,1.0481918,1.31961,2.2977846,1.6045158,4.0265393,1.927969,3.4456804,-1.075506,1.7956871
2.7452595,-0.3631115,3.5558224,-5.3106837,-5.7863064,2.476892,-6.469902,1.1730325,-0.7934034,0.3484609,-3.6093879,1.6898124,1.9064661,4.3312464,4.0565066,2.5960593,1.3989156,1.0939621,2.9588873,-10.008414,1.130801,1.9067512,0.4998597,2.6621158,0.38285542,1.9947743,1.1954539,4.5763793,2.151618,2.9327986,0.955137,-2.891176,0.60831356,2.4641385,-4.94254,1.2281463,1.7898035,1.3595605,2.4013839,3.3247972,1.847878,2.434641,1.8696749,3.4317482,2.740766,3.1820273,-13.18294,1.9928455,2.772149,2.3494058
-0.11082325,0.019772477,2.234372,2.3116422,1.8394495,3.4000623,0.10751746,1.6759366,1.984673,0.779475,6.180787,2.5424283,-2.2013197,6.1828923,1.4548067,4.957126,2.6482801,-1.5436355,4.0454845,-0.02909737,1.3775284,-8.279123,0.7828332,3.2242942,2.114131,3.8207512,5.3106933,4.0068703,0.5990771,2.2814355,-10.462554,2.7167957,-11.325635,0.46906006,1.2827849,2.6653357,4.1235995,-10.645415,0.043104656,-0.87552357,1.3487184,3.592111,1.5236559,1.5165642,3.4100533,5.4607577,-0.23075122,2.0782566,1.8335125,4.944387
3.6065304,-0.48721713,2.8391547,-0.4964195,3.692201,-0.699282,-1.748884,3.8944678,3.0888116,2.716013,2.073817,1.1339993,0.19495249,1.4754691,3.294214,2.4955978,1.264194,2.0545442,2.1719232,1.4568021,1.3944085,1.2518861,3.9706116,2.1166437,2.2913756,1.8595605,2.9377186,3.1511805,0.53160936,2.1844392,1.177932,2.4171238,-2.6829329,2.1786976,2.2899752,2.326803,1.313165,2.8011298,-6.65144,2.43264,6.0686564,2.6866236,0.74158525,1.8731437,4.8298616,4.68787,1.2669641,1.8166988,1.5975101,-7.4910445
0.017899178,-2.831224,5.4940734,0.32135093,-0.6299232,1.8832078,1.075319,0.74595374,2.535133,1.3420095,1.4241407,-2.784401,2.345551,3.0014277,2.7611349,4.8176675,-0.28435308,1.824558,2.2377048,0.19086915,3.394175,-1.149991,-1.5325868,1.4911773,2.2069266,-3.1662567,1.9346995,-24.358604,0.7421564,2.8227663,2.4713125,3.5606813,-6.1903434,-2.8550115,2.1194456,0.8733875,2.6154325,2.3938253,0.6407138,3.1163955,3.5184875,1.5314521,0.0047174916,2.122047,1.4291631,5.536355,-0.043328516,2.8325002,2.2564404,-3.2141764
13.238008,-9.935071,2.4775877,3.4107997,-0.17330861,1.3905647,0.41267592,4.0379815,2.9071789,1.9194822,1.9802012,8.563593,1.3813825,4.7431045,1.8519247,5.097901,4.3872633,0.43978643,0.7367399,-0.50150967,4.6247854,2.9175038,-0.09848643,3.1866803,0.2997175,3.65591,5.9704175,-22.411005,1.3728454,0.63642627,2.7454712,1.052081,2.6784227,-32.023907,5.5338883,-2.4740353,2.6520953,2.0190377,0.13298279,2.4420156,-1.9115142,3.8626406,2.3176088,-39.595993,2.1818807,1.11681,2.9236922,-0.1252644,0.40375328,0.94771695
3.4739976,0.42031157,3.718304,2.7945619,1.6040804,3.274491,2.166213,1.3879575,1.9178994,0.095687754,2.214206,2.4633698,1.6578828,3.3165612,3.5402837,3.061177,1.5925506,3.8486025,2.6378918,1.8993742,1.6569664,2.14298,1.4377437,3.3423975,1.345032,0.94769204,0.9236399,2.8455262,-3.7617931,0.9205562,3.4380746,0.98754215,-1.5120088,2.0361757,1.469011,-5.1388516,2.6095777,-10.208127,0.34855247,0.9503176,3.2524438,3.0427954,2.2399836,-0.84874254,1.8439301,4.0621643,-1.7937403,7.2046075,1.0484813,1.368459
-17.323849,1.0742143,4.7622,2.0153673,2.0881624,2.860747,-5.4220767,1.7445858,0.4640571,2.2513752,3.3209143,1.5981885,2.9929209,1.5133965,1.1554438,-2.2482903,-0.585711,2.2297413,2.6180706,4.5734687,6.052762,-1.4807527,4.0675154,2.662805,1.4425569,2.7868168,-1.1388028,0.1380825,1.3098919,2.264531,0.382854,0.9562131,0.5955565,3.5083268,-4.712467,3.4612827,2.3951948,-2.2953365,1.5567875,-28.874365,1.6346498,1.7958045,0.96757483,4.5432143,2.812963,1.5053489,3.2091265,-8.117269,-2.6761303,-0.9493839
2.130868,-23.024446,-6.4141326,3.9324126,3.8660803,3.6571617,2.9616861,1.2297893,1.4976871,-16.06262,2.400716,-1.292953,1.7677877,3.0934014,3.5758655,2.6111398,1.803365,1.6703291,5.6473913,-0.51376694,-0.12119942,-0.59785414,1.2179416,2.6188414,0.55364823,4.4583325,-3.110703,2.1767764,0.8220361,0.9190538,0.8966449,2.9504983,4.077453,4.0451846,2.585784,-1.1308825,0.6425997,-6.8626304,4.737448,2.231098,-0.9140258,4.856199,2.1421828,1.4610751,2.2297416,3.2644215,3.0614548,-0.8558537,-0.6175213,7.5297995
3.4896228,-0.28015673,1.9108062,-10.001295,4.4851575,3.130792,3.0726273,-8.541505,1.6853997,-0.59086055,4.537455,2.0078096,3.2569757,1.7318959,2.7549975,5.8899136,2.489891,-1.8693578,1.611151,0.3046463,2.6893277,3.5626488,0.99876523,4.239168,0.97791743,1.71245,2.181984,3.5144691,1.1600533,2.4911005,-0.53625494,0.23345461,0.39516297,2.2018063,-0.1289075,1.04449,3.1948235,2.3870254,2.1112947,5.876318,1.5471222,4.2137303,0.32772797,2.675439,2.4606802,3.5970771,4.7462,8.580071,1.164111,2.9006104
4.6590443,1.9308014,1.6820343,3.3274624,2.8636897,3.262669,-30.641668,-29.300844,-15.598395,-0.45046008,-4.4095683,3.0878005,-2.356809,-1.8252845,2.648752,1.2086606,3.0579233,0.13230264,-1.3856622,-3.214413,1.1927278,1.872917,4.15044,1.9987168,2.7699566,-0.5384921,1.416173,0.016309865,0.20381075,2.3585596,8.618915,-1.3919522,1.6404465,-1.4834507,-12.07748,-0.750275,3.0404832,3.9753947,5.446591,3.1795256,1.9054853,1.4479244,-0.9959573,-0.26057845,0.44381553,-24.667091,-9.251218,1.1225729,2.0025759,3.0407186
7.2897506,-2.9215195,2.8872318,2.334004,2.2293515,1.8811858,-2.1446624,4.4703245,2.1074653,1.4598739,-1.1358558,2.505148,11.612127,3.0280352,-9.342961,4.131515,-1.1503795,-8.030576,1.1313767,-2.8942604,0.9831197,-6.2653203,1.361325,3.8038857,2.7701178,1.083874,-0.27174234,2.5034685,5.179601,3.644315,3.2869575,0.92320096,0.57991,3.4937594,2.543854,5.265715,2.0537674,2.011029,3.2456675,1.8901252,2.3751812,7.075464,4.5569386,-11.816976,2.4939153,3.624453,1.870102,2.6533127,1.8098061,2.1474605
