shuffle_0,shuffle_1,shuffle_2,shuffle_3,shuffle_4,shuffle_5,shuffle_6,shuffle_7,shuffle_8,shuffle_9,shuffle_10,shuffle_11,shuffle_12,shuffle_13,shuffle_14,shuffle_15,shuffle_16,shuffle_17,shuffle_18,shuffle_19,shuffle_20,shuffle_21,shuffle_22,shuffle_23,shuffle_24,shuffle_25,shuffle_26,shuffle_27,shuffle_28,shuffle_29,shuffle_30,shuffle_31,shuffle_32,shuffle_33,shuffle_34,shuffle_35,shuffle_36,shuffle_37,shuffle_38,shuffle_39,shuffle_40,shuffle_41,shuffle_42,shuffle_43,shuffle_44,shuffle_45,shuffle_46,shuffle_47,shuffle_48,shuffle_49
1.1233547,-0.14484665,2.2300167,2.703305,2.0911164,1.2291645,1.4797912,1.5376358,-0.85062516,-7.359087,1.1703659,-0.9084504,2.4467313,-0.20848309,0.17175676,1.1346923,2.092407,1.8324007,3.11143,-2.711608,1.8428464,-0.0854562,1.5089794,0.47636276,2.2943916,0.059340797,2.4528463,1.1007795,-0.2540996,1.3515668,2.0853949,-1.9176161,0.5037608,1.9131607,1.6396677,-1.4413099,1.8249818,1.5244135,2.5431273,2.5978024,3.6197715,1.8883622,1.8536003,1.85713,2.0973804,1.4810503,1.3396608,1.3934685,1.8355503,1.3966461
-1.2605976,1.5590543,1.673486,1.6991097,1.7717913,1.797543,1.3423369,-0.94483376,-1.956136,-2.7126417,2.147008,0.7392569,1.240129,1.7278181,0.10225034,1.2817774,-0.41520512,2.4021993,1.773599,0.3443665,2.051523,0.37918964,1.6603734,1.1307995,1.0849946,0.18706879,1.6742936,1.4832822,0.6614906,1.7548349,1.042916,-3.040997,0.21003947,1.4778249,-0.34334013,-2.410621,1.3728825,0.524651,2.2690163,0.4815554,1.3411179,1.5284023,2.003319,1.6191539,1.71688,0.88896275,2.3390453,1.0995204,1.838026,1.863911
1.9313459,-1.1118023,0.9448813,1.1408406,0.83663636,1.1803439,1.5783502,0.44196945,-1.9990565,-2.088291,0.7913815,-1.7565961,1.4153584,-0.36915204,-1.6547893,-0.3658746,-4.8748503,1.8379229,2.0618775,-10.837376,2.3566623,-9.7474165,2.7909927,1.2092375,1.5203226,-0.1490719,0.5800895,1.9533473,-2.6990771,0.8092914,0.87580436,-9.634577,1.3497198,2.6830845,0.5870093,-1.0603145,-0.07147717,1.4303082,1.3319896,1.2065238,0.1778656,-0.3655759,1.0543122,1.9061044,1.5669692,1.6741155,2.4409916,0.9071972,2.1578405,1.2696196
0.28682098,0.052613936,1.3261675,1.5943555,1.235833,1.4081267,1.6978252,1.5531743,-0.56551147,-1.6778167,0.92685175,1.4231565,2.3558452,1.2778487,-0.7292492,1.1865275,1.7447133,1.9665475,1.6774131,0.53029674,1.2308437,-1.061542,2.1390867,1.2896634,2.2501616,0.46724042,1.3535086,1.6760297,4.9552603,1.2656235,1.0272481,-2.2475598,1.9418457,1.3329098,0.8560175,-2.7374716,2.531913,1.392809,2.5616024,2.505433,-0.21802232,1.2041514,1.0223438,1.1921518,1.1416825,0.39851084,1.3889999,2.0458698,1.5952603,1.2113227
2.127576,-1.3928002,1.7529775,1.2684568,2.610162,2.4962816,1.91697,1.6898937,-1.0983254,-2.401975,1.5546403,-0.39510322,1.8908768,1.2065064,-0.8917337,0.6523971,0.8976936,0.70207554,1.1710469,-3.378086,0.971431,-1.1411508,1.6766237,1.7945883,1.5999366,1.1699698,2.3881574,3.3316894,-0.06319958,1.7693985,1.7167956,-2.0991254,0.81778264,1.4203292,0.992103,-0.14518529,1.1345792,2.1477554,2.7669115,1.8411285,1.9142145,1.3899661,1.7920152,1.1089779,0.67139506,1.3627367,1.1065658,1.3826914,2.2487092,1.177359
1.6519057,-2.4329464,1.1772932,0.033698697,-0.14819272,0.91775376,0.9704887,3.0784457,3.7824898,2.8000083,1.4384954,-1.3626308,-0.8280254,1.5009722,-1.5860225,1.1323897,2.3324478,1.3927847,2.9372017,-2.2899048,1.4547957,2.7910273,2.9450116,2.4271073,0.7328628,1.1375332,0.9524099,0.65721416,-1.0318779,0.6271053,1.6575092,-1.7542537,0.8455267,1.0331879,1.0205207,-0.32080534,2.5052757,2.2368197,1.6652355,0.014889553,-0.023168705,2.6996858,-0.30178183,1.9056944,1.5626919,1.6794176,0.7379985,-0.22918451,1.2316315,1.6047608
1.6802387,-1.910974,1.1127743,1.3402663,1.118548,1.761043,1.6469024,1.686879,-7.790681,-2.5309575,3.102741,-0.8813193,2.2826195,1.6860856,-1.4472727,1.4398807,2.3488994,1.9208021,1.037968,-0.14216498,1.1564382,-4.2282825,1.7322596,1.7503034,1.4658058,1.6311909,1.3049359,1.129621,-0.16976419,1.4464396,2.1720731,-0.33846205,0.8524932,1.9328958,1.534307,-1.1881677,0.7464083,1.4545269,2.2398057,0.7290119,2.6813018,1.1950672,4.4952927,1.6909152,1.5825033,0.60203993,2.4420133,1.3960303,1.3631008,1.7363455
2.5546064,2.5778165,3.5442986,1.7956713,0.89966905,1.0511786,2.2445858,1.6580942,-2.2717783,-1.6655086,1.4423229,-4.2819204,1.2452095,1.5360641,-1.654378,1.4349974,0.9974882,1.3241713,1.3591282,4.2352376,0.38083768,-3.0356264,1.6710919,2.344594,1.5915573,1.7816414,0.69435376,1.2644426,-3.8214674,1.2982217,1.2923133,-3.8493629,1.212067,2.2153444,1.2326496,-0.9356222,1.2090998,1.2209802,2.8344047,1.377679,2.054738,0.66406965,2.5510943,2.3784566,0.09040644,2.4166799,1.5302062,1.3275012,-0.24680033,1.0465442
1.4144487,-6.2053614,-0.86630654,1.8745861,1.7004404,2.163,0.88078463,0.74942595,-1.1491749,1.22918,1.0689054,-0.8730169,1.7770813,1.7508099,-2.6714244,2.1885202,2.4725678,-0.7013586,4.1602716,-6.932215,1.3675557,-2.8382797,0.53322244,2.3243437,2.1093743,1.0914927,1.282226,1.0310946,-6.0091476,1.2058152,-0.08443997,-9.584307,1.2492076,2.8727922,1.1053426,-1.508823,1.8925871,1.0807211,1.0788089,1.7983482,1.6147861,1.8234442,2.4341938,2.7891805,1.6361703,2.859477,2.1187105,0.7669868,3.768459,-0.050894987
1.1428337,-0.793812,1.0984774,1.4491936,1.1903611,1.8818619,2.925324,2.5094368,-2.8075614,1.76381,1.8736326,-0.5245875,1.9415519,2.1733859,-1.0624582,1.9619081,2.0483308,2.2063274,1.7174771,3.422473,1.7906728,-2.5117595,1.8570122,1.4230146,1.6978058,1.3467116,1.4518968,1.4296639,-0.78483874,1.1862357,2.3798766,-0.7002667,2.2572472,1.6332144,1.8783793,0.34533247,2.5606546,1.6267457,3.991224,1.7193574,0.9148857,0.66406965,3.6329815,1.9902301,3.4493268,1.7657863,0.9446046,0.99971837,1.5396223,1.680162
