shuffle_0,shuffle_1,shuffle_2,shuffle_3,shuffle_4,shuffle_5,shuffle_6,shuffle_7,shuffle_8,shuffle_9,shuffle_10,shuffle_11,shuffle_12,shuffle_13,shuffle_14,shuffle_15,shuffle_16,shuffle_17,shuffle_18,shuffle_19,shuffle_20,shuffle_21,shuffle_22,shuffle_23,shuffle_24,shuffle_25,shuffle_26,shuffle_27,shuffle_28,shuffle_29,shuffle_30,shuffle_31,shuffle_32,shuffle_33,shuffle_34,shuffle_35,shuffle_36,shuffle_37,shuffle_38,shuffle_39,shuffle_40,shuffle_41,shuffle_42,shuffle_43,shuffle_44,shuffle_45,shuffle_46,shuffle_47,shuffle_48,shuffle_49
-5.964734,0.76586163,-5.5054216,-3.9146268,-2.437972,-0.43575916,-9.344722,-4.0595474,-1.2346857,-2.387815,-1.0543927,-2.540048,-18.505491,0.58727896,-2.5897584,-8.822578,-3.5304887,-1.9910322,-3.5400822,-1.8679438,-1.952187,-2.7687082,-4.725485,-1.4555532,-5.133019,-3.938223,-7.7251725,-0.08313553,-1.231333,-3.9393632,-3.024254,-0.07283577,-7.502803,-1.4103416,-2.8031821,-0.3021069,-5.1196737,1.1492536,-1.8769192,-0.09523247,-0.6494214,-2.992074,-0.91992545,-2.1090527,-1.5025387,-2.167095,0.7374102,-14.930767,0.97771615,3.1606336
6.2480497,1.4025176,12.322717,22.233147,2.6333027,2.2828772,4.092147,2.1661272,1.9413117,5.539386,4.864947,0.46066758,2.9781876,3.3886895,3.4027991,0.40904748,2.7188058,4.2390075,1.1004266,2.4562817,4.5819364,2.5166583,14.108617,2.4825249,7.8316846,3.2739706,4.023209,6.284868,5.1770477,0.31930158,10.402584,11.963654,6.9526215,2.7275584,6.144281,11.19899,9.831319,4.524905,8.573127,4.753251,4.416497,2.849746,5.0422826,5.1797523,3.2356558,5.8639636,4.9997253,3.2693424,5.544628,4.150541
4.897399,3.6170375,3.1067507,7.6138115,6.662163,1.8796599,11.046793,4.7998085,5.9501014,1.7860838,6.4248233,3.1927407,3.908343,3.2277935,5.7760825,12.027101,8.676046,1.4079027,4.323487,7.512123,3.0894315,5.3319416,6.572008,4.505113,6.437321,3.3121834,7.2545323,5.9380136,4.679842,6.1924295,8.449757,5.3389373,7.422856,3.2924354,6.472861,9.257891,8.043912,5.198905,4.1849146,9.219418,4.9937286,3.5268419,6.1728754,2.0268054,0.7055062,5.292612,5.1098943,4.0046873,5.716554,4.0304303
1.14798,7.4579043,9.589951,2.4009516,5.25225,7.757246,4.787427,2.8858461,5.820294,2.5114632,2.647658,6.277873,4.661098,3.6931844,2.5441518,1.7708384,6.762692,5.1233053,6.5221434,1.9389439,3.6804333,2.095263,5.577001,3.9364033,7.1442556,2.6952977,2.734699,6.626977,3.9809556,7.781437,10.372892,4.2799325,2.427103,4.00239,8.878429,11.323799,7.4825377,2.2105503,6.8364325,7.2557516,0.77478665,4.033236,5.4984536,7.2869163,4.308563,0.578307,9.974663,0.68820286,3.4189234,3.9702945
-4.176443,0.7826945,-10.546674,-1.188184,-1.0207915,-1.165942,-0.94877005,-6.432097,-1.8583928,-5.0432453,-2.723307,-1.9254317,-2.5058322,1.2040558,-0.8206451,0.118111536,-3.750362,-2.4900415,-1.4038969,-0.12549376,1.7432146,-0.092329845,-3.082467,-3.2624893,-1.7719872,-2.19946,-4.4412,-3.549013,-4.232582,-2.7321403,-0.54706544,-4.099667,-0.77630126,-6.9515824,-2.3495145,-0.27192608,-2.9349988,0.47144485,-9.255298,-0.07165308,-2.9132435,-10.000171,-1.2241981,-2.6093588,-4.7502394,0.7955013,0.1681915,-4.4947386,-7.197061,-1.7112392
4.4630084,2.890667,11.243413,3.736789,4.738206,6.2583447,7.028524,1.4527698,3.1244416,8.501898,5.394953,2.7642205,5.7580724,3.7082956,1.2241538,6.9245205,8.310735,6.002395,3.0021489,2.5654697,0.43713063,1.8546284,4.0763736,4.9338737,11.725839,1.6692753,6.377678,2.7111063,3.4561193,1.6128752,5.804356,0.64078,4.026139,9.630552,4.2011523,7.0029774,4.3230762,1.9113973,4.365309,9.309198,6.2835884,8.002616,1.6836116,8.960018,2.4382346,5.2038393,1.3086509,2.4557695,2.6443858,4.9769497
3.2123451,7.0847335,4.385412,8.748165,10.85051,3.564011,12.577012,0.8170001,8.451415,5.3745627,4.2011666,6.1571155,1.3500423,9.3559065,7.10784,3.4719322,2.3068938,4.371283,1.0936873,3.5768223,5.1761594,0.9739442,3.9243464,3.688805,7.224602,5.3506017,4.6545405,0.3702942,3.1930246,7.7529635,5.691626,5.4686265,7.091825,3.2537293,6.404789,3.2718432,8.215843,5.392143,3.7781742,10.903004,2.3378139,3.7797892,3.6601002,0.9487602,5.283928,5.8194833,1.6460253,2.6925063,2.49845,6.0620794
5.3175297,1.9715447,6.658131,3.884597,2.5204916,-0.17903262,8.909526,-0.5039657,1.1057905,4.952805,3.263925,10.276534,2.8944838,5.0667906,2.709474,6.100242,2.067866,3.8972583,2.9998276,1.0914924,4.0215025,4.889331,2.5451436,21.998865,6.5603385,7.717718,7.227509,1.8374528,4.854106,6.4592314,7.7007103,5.5524273,0.6660773,16.035164,3.8945706,11.752882,5.3698235,2.3574953,0.45409822,5.863515,4.502222,3.9844139,4.721649,4.4567895,5.9436846,2.7768877,8.287223,4.9471416,2.6861176,6.7443113
-1.7873371,1.1081554,-2.3907354,-0.57655287,-3.4639733,1.1622102,-1.4778452,-0.90067625,-3.29584,-0.61332554,-3.2769578,-0.68463373,-0.3076387,-3.938994,0.66939354,-3.0111241,-3.0518954,-3.1611307,-2.370078,-1.0079138,0.37172717,-1.5415982,-5.4837947,-4.246831,-2.4677062,-3.194523,-11.403175,-6.1831503,-8.52827,-1.5739275,-0.43239206,1.107299,0.34526166,-8.003565,-3.2617292,-1.7381364,-0.8695628,0.72490114,-5.6629705,-3.145568,-7.1721964,-2.055198,-0.11664814,-1.4263963,-2.7378914,-0.55617625,-7.6921544,-0.4903737,-1.4034578,-5.5280685
1.8774405,4.1871457,3.9498353,8.801462,6.953371,4.370782,7.6875687,3.9831,3.708965,4.9770045,4.557801,10.753837,2.0488255,5.0275116,2.3042607,8.290082,2.2083857,0.875927,7.65489,4.0191555,3.7788565,3.0301104,6.516381,6.786091,4.897379,4.8693557,12.111018,5.5540657,1.0722244,4.6078978,4.906278,4.4504647,8.970732,6.312734,4.4834023,3.6952302,8.606441,2.6968093,4.5709457,9.759343,3.4902985,4.939273,1.7975626,7.6210647,10.061991,5.048789,4.4044137,2.612432,4.2727876,3.9934144
-2.0445774,1.4158134,-6.786412,-2.7951257,-4.1837626,0.8051891,-0.32577288,-0.80819166,-4.568876,-2.2606645,0.029255126,-5.5594335,-2.4704978,-0.9721252,-0.3026359,-0.9837788,-2.7617173,0.4793787,-1.3465507,-2.494555,-1.3575925,-3.409717,-4.681715,-2.272479,-3.1820488,-5.9919806,-4.801258,-2.7816398,-6.5398984,-1.1634887,-3.8356538,-4.726598,-5.6388073,-2.9069042,-4.6761794,-9.489792,-1.0271748,-5.9950867,-0.9932767,-0.76989615,-5.0436964,-1.8524526,-5.851052,-3.9011137,-2.7129452,-4.163503,-0.5199633,-0.84635806,-7.9828205,-6.7669263
