shuffle_0,shuffle_1,shuffle_2,shuffle_3,shuffle_4,shuffle_5,shuffle_6,shuffle_7,shuffle_8,shuffle_9,shuffle_10,shuffle_11,shuffle_12,shuffle_13,shuffle_14,shuffle_15,shuffle_16,shuffle_17,shuffle_18,shuffle_19,shuffle_20,shuffle_21,shuffle_22,shuffle_23,shuffle_24,shuffle_25,shuffle_26,shuffle_27,shuffle_28,shuffle_29,shuffle_30,shuffle_31,shuffle_32,shuffle_33,shuffle_34,shuffle_35,shuffle_36,shuffle_37,shuffle_38,shuffle_39,shuffle_40,shuffle_41,shuffle_42,shuffle_43,shuffle_44,shuffle_45,shuffle_46,shuffle_47,shuffle_48,shuffle_49
2.4168208,2.5655508,-6.6118608,-4.6656466,-4.8072166,0.81203634,3.2685442,0.0141044855,2.8393617,0.31485772,3.992509,4.9676485,2.3171785,3.150941,-0.07886891,3.3803504,2.6489577,5.312869,-5.205993,2.3187573,-4.0057516,-4.658212,3.1960802,3.3090093,-3.3072155,3.2410872,3.0395584,-5.4077344,-3.2044742,3.445078,-3.4378407,3.7206154,-2.3152862,-2.964056,-3.8962393,3.1919572,-0.7048563,-2.939332,3.4715445,-3.8126569,3.7626584,3.4712405,-0.88598055,-6.020013,-2.9394536,2.7880783,-5.672809,-3.5961034,-1.5564909,2.4664464
1.0257678,2.0347564,3.0033665,0.36983287,-3.764522,-3.1933608,2.930277,3.3164482,2.5976915,1.4297901,1.2169679,1.313753,0.43986386,1.3797894,1.0024103,2.9486525,1.4541124,1.1712942,-2.4667833,2.0983787,2.7467992,3.2789707,3.35164,2.9925902,2.534127,0.9772387,3.01842,3.5310078,-3.0661528,-2.5687852,1.8012743,2.629829,2.3127775,-3.193513,2.7084131,2.7210774,2.5230088,2.7496521,-3.9265375,-4.3756757,-6.4530597,3.3407278,1.6560572,1.4039983,-3.3068557,2.5618758,-4.690814,-4.9135036,2.7757528,2.5237193
-4.5345345,2.071409,3.0963578,-1.8244292,3.5853949,1.6444288,-4.409322,1.0356561,-2.0338552,-0.60972273,-2.3873272,-0.26440442,-1.1744685,-3.273338,4.2803373,2.0314012,-3.376558,2.5539806,-3.7823837,-2.7025108,-3.93713,2.9718065,3.3617506,-4.297541,1.9104427,-2.020358,-2.866537,-5.4916964,-2.0947018,3.372101,1.9297682,-3.9115272,-3.8130755,-2.2072675,2.4223225,-2.353035,4.4558177,2.1632206,-3.2989929,-3.5363514,-2.4498127,-5.058114,-3.533403,1.9690604,-3.7626934,-2.1837986,-5.1246047,-2.5190084,1.6806909,-4.64207
-6.8169785,-8.369962,3.6194522,2.369368,3.7740266,-0.69992596,-3.3723512,-4.561614,2.7297971,-3.9185896,1.0767434,1.1796033,-0.4577945,-1.3469625,-1.8840599,1.451161,-1.6871839,-1.6430576,2.131619,-6.7827168,2.8651898,3.2706861,3.4982905,3.558314,-1.3625305,-2.5438173,-1.259029,-3.851903,-6.2920804,2.8722596,-2.0167325,-2.9684594,-0.8137658,2.276825,-3.626185,1.9313966,-6.2155056,2.989635,-4.398495,1.9117056,0.8848477,3.4733381,-6.7182984,2.6638503,-5.0957856,-5.6579876,2.5110097,3.3586538,-7.1783,2.7879014
-3.582283,-4.5814376,3.1262808,-3.1334186,-5.798931,2.1782925,-2.745802,-5.4799604,2.0813336,-1.0019515,4.3632965,-0.08296175,0.672069,-3.9304776,0.64362913,-7.5654845,-2.0603318,1.3373419,-3.9313273,2.809379,2.7159276,-3.1830091,-7.026044,3.5552685,-3.8482735,-2.8152194,-4.2460523,3.2775793,2.932289,-3.2042844,-3.369906,-3.344636,-2.360133,4.3284955,2.9893253,-4.5791593,-4.084493,-4.024027,-2.113442,-4.0810666,-2.6913595,-3.3948255,0.3776647,-0.67941725,-5.451926,2.0446973,-4.5842004,2.6842868,2.5154636,-1.3348756
-4.565104,5.668764,-4.917707,-0.16467954,3.6368136,1.756146,-5.767656,2.4445264,-3.74324,1.719631,-3.0054789,3.2960007,3.2992358,2.639439,-2.951335,4.2320495,-1.0011123,-0.31192833,-3.6144683,3.5987368,-4.564487,-4.436815,-5.7741833,-5.9971237,3.8830824,0.25728714,-5.868699,-6.0173855,-1.0330702,3.5349634,2.4599528,4.1535635,1.6477703,3.2867568,-3.7275748,-0.84801584,-2.347962,2.7638083,-2.700663,2.916348,4.9067135,-2.9730833,3.8119802,5.1410084,-3.176988,3.1508808,-4.337868,2.7751732,-1.4291993,1.4423615
-2.4022012,-7.2001038,2.7985113,-1.0448905,-5.1470456,-2.9425871,-4.419304,0.45408118,-4.0916977,1.3338771,-4.665841,-6.892023,-3.0425136,-2.8041906,-4.200657,-3.5800748,2.470823,-4.1816945,-2.5469732,-1.9964187,2.0296514,-4.2206597,-5.72281,-3.5813003,-1.8513837,-4.214484,-5.079948,-3.0524096,-4.656137,-4.3380203,-2.684907,3.4717612,-3.5991616,-4.326538,-3.724796,-5.2584486,2.7506986,-4.0203857,-4.436266,-6.553876,-3.823482,3.2984035,0.5916678,2.3072774,-3.8839657,-4.869908,-4.1578374,2.9688127,-2.0000677,-4.987496
-4.7672024,1.9939028,-3.0081217,3.2012715,3.6475656,1.5019296,3.1980267,2.0641663,2.1909752,-0.8405145,-1.0054902,-2.2337956,-0.12347613,2.4813972,-2.243631,2.342923,-3.496356,-1.882885,2.9763772,-0.8579693,2.5102227,3.5065708,3.5115652,-3.4699214,2.7913754,1.1133847,-3.9479723,-3.9132237,2.9034054,2.9413126,2.3596752,-3.1256957,2.6117413,2.1606393,2.9498043,-1.6106898,-0.94231516,-2.607853,-3.8701477,-2.0539608,1.759885,3.0280173,1.4055412,-2.7570782,2.7844992,1.3509736,-5.3735323,3.467444,-2.2949312,-3.1208808
-2.4942958,3.4010816,-3.745932,3.1374602,-4.881673,2.798999,3.408063,-1.071637,3.0097816,1.2558436,1.9406612,3.6460793,1.6225436,3.2336404,2.619662,1.7265579,-4.15508,-0.480587,-4.765645,2.8403356,2.9752033,3.5871618,-4.679133,3.4544804,3.3914077,-3.5908227,3.571118,2.9513128,-3.630841,-3.7143836,3.759013,2.4480357,2.2049127,-4.2003384,3.044162,2.01468,3.033592,-2.6301606,-3.5195818,2.5948646,-3.1772647,-5.370398,0.113238275,-5.373395,2.9848132,3.6476953,-4.784323,-4.529183,-1.706572,-2.73674
-4.0872445,-3.9165497,-7.1791167,1.5009208,-4.591817,2.903985,3.3091779,-0.26654273,-7.6321573,1.0871608,-1.512078,3.4124959,1.1608993,-5.3382177,1.3774197,-6.476887,1.9592942,-0.9539388,2.1795888,1.9623854,2.4284105,-4.787943,-5.0923004,-4.9139028,2.8964005,1.8489373,-4.331472,3.5688562,3.0392852,3.151777,1.542255,-4.149405,1.6496502,3.6095715,3.8254232,-6.776353,3.483539,-5.206608,3.1271622,-2.074515,1.9726441,3.114565,-4.323149,-3.1352608,3.4835947,2.835404,3.0318902,-4.6132874,-6.076853,3.2284567
