shuffle_0,shuffle_1,shuffle_2,shuffle_3,shuffle_4,shuffle_5,shuffle_6,shuffle_7,shuffle_8,shuffle_9,shuffle_10,shuffle_11,shuffle_12,shuffle_13,shuffle_14,shuffle_15,shuffle_16,shuffle_17,shuffle_18,shuffle_19,shuffle_20,shuffle_21,shuffle_22,shuffle_23,shuffle_24,shuffle_25,shuffle_26,shuffle_27,shuffle_28,shuffle_29,shuffle_30,shuffle_31,shuffle_32,shuffle_33,shuffle_34,shuffle_35,shuffle_36,shuffle_37,shuffle_38,shuffle_39,shuffle_40,shuffle_41,shuffle_42,shuffle_43,shuffle_44,shuffle_45,shuffle_46,shuffle_47,shuffle_48,shuffle_49
1.6548061,-0.26539594,0.70211893,-1.009267,-0.56760997,-0.5372926,-1.2869382,-0.49520054,-0.34864092,1.1176742,0.6404987,1.3444421,-0.39940816,-0.5013212,2.142007,0.9486594,-0.14765006,0.18460442,-0.5321921,-0.12787025,0.6591154,-0.99618995,1.0443897,-1.6970985,-0.5634552,-0.28198567,0.19809532,0.7016968,0.81095797,-0.54110473,0.39632893,1.3422992,-2.636171,-0.20803472,0.18436886,2.9465513,0.3305789,-2.0793607,-0.3597293,-0.30610797,0.64833903,-0.16002747,-0.123041406,0.43056536,0.32417458,4.430529,0.700204,1.6274778,0.05689937,0.05836168
-0.2400777,-0.6873525,1.0449014,-1.5604291,1.3012276,-1.3793339,-0.6900166,-0.029100731,0.34847403,-0.22304991,-0.2360743,-0.8351015,-2.3981533,-0.97029674,-1.7393211,0.29696226,-0.2406668,-1.5177791,1.1136149,-1.5379748,-1.5730513,-1.1769532,0.54850423,-0.8017189,-2.063154,-0.23214892,-1.8911175,-0.1739913,3.0499053,1.3705345,-0.69646454,-2.1002612,-0.424363,-0.532964,-0.7292979,0.13166532,-0.81008744,-1.5096214,0.08145255,0.4056422,1.1161468,-0.71369714,0.34528968,-0.35493308,-0.19340052,-0.7719061,-0.012438305,2.3050454,-1.722661,-0.18534012
-0.02772107,-0.82563967,-0.17076454,-0.18120366,0.40048265,-1.4150974,0.05586347,1.4689678,1.3694451,-1.2921829,-0.11112649,0.119465195,-0.35170007,0.107862025,-0.4443726,-0.332609,0.053417895,-0.3131704,-0.13619587,-0.16409877,-0.10996177,-0.26608077,-0.83760566,-1.189712,1.3660915,0.05073321,-0.14398238,0.80215985,0.8711671,0.20923033,1.0377986,-0.73680454,0.10237374,-0.95445853,1.0251377,0.08756263,-0.17101896,0.32098305,-0.46743903,0.109919995,-0.16991974,0.050710727,-0.6430146,-0.26999247,-0.029573448,-0.12583965,0.803591,1.0133694,1.0265094,0.47367752
-0.21652088,0.116621025,0.0011836961,0.00870876,1.9350386,-0.017976895,-1.1942446,-0.43066522,0.76465625,-0.30688354,0.88471013,0.34947962,0.034113742,-1.3600769,0.6284602,0.21810889,1.3359396,-1.0897535,0.56870055,-0.21132585,-0.6542715,2.0514166,-0.66466516,-1.9496329,-0.18058425,1.6056892,-0.53506976,-1.5054168,1.0592772,1.0143964,-0.2797469,-1.520213,1.3766104,-0.40035704,-0.2930671,-1.461656,1.1200566,-1.2404668,0.8349774,-1.6782446,-0.15294348,-0.0056514964,0.7466767,0.76021296,1.0835989,-0.77167684,0.7401891,0.9898595,-0.2025522,1.152774
0.6704911,0.76796484,-0.27071276,2.9163516,-1.0455642,1.3205063,1.3407586,1.6150635,-1.3823974,-1.5908016,-0.65532094,-0.07806027,0.7959301,-0.58265567,2.2479386,0.12693664,-1.1900121,-0.2537174,-0.3775224,-0.6468344,-0.85486645,2.4070642,-2.141094,-1.5770886,0.5274679,2.9038932,0.46986896,-0.26366132,-0.31001663,-1.3561294,1.6140798,3.5923638,0.94481707,-0.46090683,-0.2440428,3.7238507,0.77458817,4.619248,-0.052761115,0.6524749,-0.21367876,-0.1602624,0.30403703,-0.07030842,-0.23362254,-2.2223246,-0.35699478,0.9803157,0.9255132,-0.047306225
0.40345207,0.18421102,-1.0130049,-0.005374424,0.6332371,-0.35168383,1.0978832,-1.2402128,0.5834795,-0.2870711,1.5992384,0.16064192,0.2882225,-1.5482959,0.5657113,-0.11279359,0.56531155,1.242942,-1.0950933,0.35625768,-0.22145706,0.40199825,0.75552016,-1.496079,0.007237099,0.8872184,1.1451366,0.39755458,-0.2261582,-0.42110276,1.0349967,0.36019063,0.61168295,-0.41127512,1.5847257,-0.17597163,-1.1826831,-0.1365085,1.2828506,0.77111083,0.17448123,0.56519705,-0.60620505,0.5309386,-0.16210286,-0.44283032,-0.32262337,-0.20663999,0.51543194,3.0010562
1.029769,-1.4752363,-0.41687176,-0.24920708,-0.36158526,-0.06246905,0.15267111,-1.1399422,-0.37910688,0.17939755,-0.17336711,-1.8674119,-0.29005104,1.3488232,-0.63778543,-0.28174436,1.9479723,-0.13444519,-0.07479944,-0.02605702,-0.24625161,-0.67105436,0.16473022,-1.4124043,-0.61126673,-3.4368682,-0.014554165,1.0250373,0.4695723,0.6184398,1.138547,0.058189273,-0.6051175,-0.47114232,1.1347826,0.6485683,0.34141794,-1.2441807,0.31244016,-2.241809,-0.1541598,1.9495955,-1.0082333,-1.7524985,0.15993303,-0.49890143,1.0332185,0.19221018,-0.06394156,-0.50491947
0.16306558,-0.52290154,-0.03633947,-0.5983772,-1.488792,-0.035388514,3.525171,1.7886293,-1.3332715,-1.0428982,1.0350897,0.07115231,-1.235018,3.9343746,-0.15401572,-0.17115328,-0.26115933,-0.26284507,-1.1818538,1.819591,3.5124352,2.2240567,3.521375,1.8795636,-0.24105689,-0.033208467,-0.7284401,0.12251591,-0.3679257,-0.14345717,-0.53883606,-0.0006260723,-1.2544993,-1.5870485,-1.0988902,1.5656707,1.8243644,1.7980705,-1.1233189,1.5911525,-0.024293154,-0.5464216,0.080392376,-1.5278482,-0.025458083,-1.8162116,0.15839095,-0.41565758,0.9565047,-0.15876834
0.037455976,-0.07058229,0.033812024,0.6942943,-1.1062808,0.79722595,-1.4601854,0.33054334,0.81910294,0.27721396,0.22511765,-0.7646924,1.2481008,-2.7738135,0.35597345,0.23030397,0.8172617,-0.11314824,0.79174316,-1.4360979,0.21836424,0.6429518,-3.1151817,0.05293025,-1.0200554,0.81183094,-0.25618893,-0.8408222,-2.2930493,-1.2618619,-1.4641936,-1.2592664,2.1807792,0.3988272,-0.09768666,1.3613923,0.44456637,1.1931181,-0.58204883,1.4732906,-3.1107605,0.8122602,-1.082901,0.48583096,0.41043353,0.20997614,0.055928893,-3.1607869,-0.34778154,-1.0973109
-0.27341616,0.37047994,0.28943336,0.5908904,-0.50280046,-1.0499258,0.43519908,-1.3398967,-0.58714104,0.96550477,-0.87162477,0.6702501,-1.4925256,-0.6524993,-1.0334802,-0.37567958,1.5547366,-0.34141368,1.6174446,1.5807574,0.43648985,-0.10282655,-1.0110478,-1.6370423,0.028684542,-0.9098107,-0.5276877,-0.53416306,-0.1144464,-0.24099556,-0.61180073,0.15547937,1.5109843,0.38269463,-0.92740035,-0.2613451,-0.9831748,-0.19168767,-1.0207068,-0.19233355,1.561897,1.5506201,0.10002531,1.050165,0.59292424,1.9634553,-0.52101445,-1.1615012,-0.490382,0.53493524
