shuffle_0,shuffle_1,shuffle_2,shuffle_3,shuffle_4,shuffle_5,shuffle_6,shuffle_7,shuffle_8,shuffle_9,shuffle_10,shuffle_11,shuffle_12,shuffle_13,shuffle_14,shuffle_15,shuffle_16,shuffle_17,shuffle_18,shuffle_19,shuffle_20,shuffle_21,shuffle_22,shuffle_23,shuffle_24,shuffle_25,shuffle_26,shuffle_27,shuffle_28,shuffle_29,shuffle_30,shuffle_31,shuffle_32,shuffle_33,shuffle_34,shuffle_35,shuffle_36,shuffle_37,shuffle_38,shuffle_39,shuffle_40,shuffle_41,shuffle_42,shuffle_43,shuffle_44,shuffle_45,shuffle_46,shuffle_47,shuffle_48,shuffle_49
-2.467495,-1.1158961,-3.9283493,-2.3719714,2.36857,3.3341916,-6.5226417,-0.14711499,-10.445935,0.18738493,0.61223155,-4.589498,-4.2243834,-4.2836246,3.2543576,-1.0250103,2.9811695,2.183727,0.1606513,-1.0546786,2.5168703,-4.5573893,-1.1301993,-1.0270998,2.7064855,1.8897552,-5.058447,2.2559788,2.482034,-2.2873807,0.5253779,-0.22386196,-4.5175147,2.6913455,2.6977618,0.44854805,2.1176522,-1.7454249,0.7406311,-5.9990077,2.6437662,0.1395639,-4.183361,-1.221217,1.6940153,-5.0220823,0.19095652,-6.097948,-1.2940103,0.046052657
-0.30336234,-1.1719614,-6.4172854,2.5234993,-2.0914042,-2.309509,2.4585946,-0.6648044,1.8048025,-0.8975352,-1.6562556,-4.714301,-5.936105,1.6256676,1.6684362,-0.5696869,-1.0890571,1.5378166,2.726435,0.2456101,2.6357179,2.8497705,-0.7953862,1.3135148,2.5010781,2.5511653,2.5721552,2.1050131,2.380563,-0.92360336,0.71897775,-0.13836604,2.5074031,2.313246,2.5431774,-0.42136994,2.7925313,-0.038647708,2.543789,4.7607884,2.3735583,-1.5360141,0.16634807,0.1485441,1.6225067,2.4286363,-0.7279455,2.9550383,-0.057498306,1.9139997
-1.0711614,2.6089683,-3.0824845,-4.4605117,-3.965104,0.61232436,2.1491282,0.117026575,1.4920915,-0.24488491,-0.75111556,-5.609744,-4.906808,-2.800511,-2.2562542,-1.1461025,0.2503815,-2.3216383,0.4851325,2.4155867,2.2451055,2.6501503,-0.1386489,-0.30008444,-5.187561,0.70899445,2.451063,2.6656098,2.9342346,-3.8712592,3.4784641,5.1966505,-4.9441767,2.7137358,2.7952893,0.3820257,-3.9929278,-0.7999541,-5.9954247,0.53709644,2.4090953,-1.3308077,-0.67513204,-0.83863443,1.3991411,-4.9938593,-0.4752086,-4.78273,-0.72150344,-0.90481263
-4.8725095,-0.6467859,0.4437965,2.1872938,-0.3701614,-2.5066578,-5.271694,1.2169166,-5.0280247,0.92713356,0.31469694,-5.8175716,-3.377224,2.320245,2.9699275,-0.10926269,-8.094279,0.26242557,0.2974328,2.1316602,2.0012674,-4.598796,-0.66181165,-0.8687066,-6.806085,-9.450818,-5.071567,2.45638,2.3962436,-0.5241943,2.8435192,-5.7377844,-6.1344857,2.6968005,2.5923855,2.3072965,-8.364331,0.65519744,1.7906469,3.1516116,-6.245234,10.535687,0.9501261,-0.29399225,-3.3225791,2.449248,1.3625451,1.9951745,-0.5536629,-3.554385
-0.58039117,2.065173,4.153184,0.76840484,-0.16491571,0.66947323,-5.5119734,0.5791324,-1.3841358,-0.8617237,0.16462229,2.6690564,-4.410466,1.571283,3.1259377,-1.0559055,-0.64913297,2.9513109,-1.2839829,3.289128,-5.257556,-5.089286,-0.18404028,-0.6333334,2.613438,1.9764552,2.7420495,2.348592,2.203101,3.4853153,-1.4715011,-0.2961756,-6.628596,2.6990106,2.925365,0.8368234,-5.4204807,-0.016362626,2.3166764,0.25386584,2.2847197,-3.400771,-2.5192485,-0.005383075,0.5370486,-5.4335175,-0.49541643,-7.026002,-0.11386563,1.4840592
-1.0395411,-1.5611039,-3.5562747,1.662477,-0.21588366,-2.7628295,2.416292,-0.35412994,-2.7900217,-1.9162381,-0.008027063,2.6769617,-5.852737,0.5577059,1.1388376,-1.4968721,0.8298213,-0.17566983,0.943936,3.6286304,0.8013503,2.0733545,-1.1658716,3.5952327,-4.090924,-3.1871977,2.6170697,2.4996502,2.6476586,-0.30133116,-0.08664939,3.6348343,2.2285326,2.4854543,3.0334795,-0.21399495,-2.519231,4.108903,2.1248252,4.2679048,2.811549,-0.7960698,-0.43172598,-0.82616824,-6.3617296,2.592549,3.9465244,1.9627341,-2.4774415,2.4274554
-0.47052687,-0.32800782,-0.24407512,-5.8669724,-3.1520379,0.051736765,2.3993282,-0.0142091,-6.7035556,3.6048439,0.014325551,2.577321,2.0349805,0.27865857,3.818433,-0.3838379,-1.3580033,-0.08384871,0.37838855,-0.26220906,1.0829984,3.028011,3.7128196,-0.3410918,-6.8144026,2.1699438,2.146682,2.438788,-7.274892,0.82656145,1.2599156,-0.7751347,2.5159886,2.0409024,2.236469,-0.9400924,2.3915446,-1.9853617,2.0229445,-2.0672562,-6.760564,1.7145263,3.879876,-1.1665503,-4.1637783,2.5421803,0.048265733,2.7493389,-1.9407021,2.4761958
-0.982094,2.5165756,-0.381247,-0.93590635,-1.4759165,-1.6676943,-5.433815,-0.65429646,1.606134,-1.831759,2.1591778,-5.1665797,-1.5302813,-0.2564549,-3.268648,2.5928156,2.905065,-0.58286643,-0.95855284,4.859801,-4.123708,2.3426917,4.813821,-1.066342,-5.484892,2.136267,-4.678216,-5.649025,2.889385,-2.535433,-2.6334548,1.5326523,2.618433,2.6944196,2.5189967,-0.097456805,1.6053461,0.9256525,-4.95135,2.6031606,-5.651969,1.4738756,11.933259,1.8135651,1.2599558,-6.15618,2.8486001,-5.2839117,-0.7211631,0.18610466
-0.24330452,-0.4907924,-0.077002,-2.6769507,-2.726901,0.7855139,-6.3527308,-1.5566337,1.0704578,-0.8071708,-0.47820872,2.6824095,-3.8370907,-2.5237553,-4.239996,0.13373147,-3.0047257,-2.1163208,-0.59375226,1.074365,-4.547926,-4.4796414,-4.895563,-0.531068,-5.136737,2.1441107,2.1244113,2.4812362,-7.637479,2.5467353,-0.107983746,-0.40378574,2.2221398,-5.5325274,-4.309968,-1.3257333,-2.9304187,-0.5015258,1.872012,-1.0359868,2.36177,0.40974075,-2.7862113,-1.8119651,1.5568398,-4.171507,-1.5692726,2.9224577,-0.77157414,0.9128008
-1.1208361,1.4053475,1.8890494,-2.4730392,1.7050724,1.7863578,-3.9821024,-0.6370699,1.9189439,-1.2227653,-0.45521858,2.7314613,1.6419352,0.64537805,-1.5075449,-0.12615731,4.222299,-0.15754765,2.1583118,-0.6931693,-4.7574573,2.3458126,-0.042266846,-0.33735985,1.9631298,-2.7885015,-4.3571515,2.5762613,2.6112926,-4.4308,-0.814401,1.211625,1.2628291,3.4029696,2.3086379,-2.1768239,2.5145235,-0.46702328,1.6980785,2.1150243,2.7124474,0.3628593,-0.19827113,-1.0466582,1.3077247,3.1000144,-0.35105166,-4.6056943,-2.4701135,2.541051
