shuffle_0,shuffle_1,shuffle_2,shuffle_3,shuffle_4,shuffle_5,shuffle_6,shuffle_7,shuffle_8,shuffle_9,shuffle_10,shuffle_11,shuffle_12,shuffle_13,shuffle_14,shuffle_15,shuffle_16,shuffle_17,shuffle_18,shuffle_19,shuffle_20,shuffle_21,shuffle_22,shuffle_23,shuffle_24,shuffle_25,shuffle_26,shuffle_27,shuffle_28,shuffle_29,shuffle_30,shuffle_31,shuffle_32,shuffle_33,shuffle_34,shuffle_35,shuffle_36,shuffle_37,shuffle_38,shuffle_39,shuffle_40,shuffle_41,shuffle_42,shuffle_43,shuffle_44,shuffle_45,shuffle_46,shuffle_47,shuffle_48,shuffle_49
-1.0484512,-1.2090875,0.18048802,0.7279614,0.26125523,-0.5804409,1.1078908,-0.7587806,7.9612136,-2.4310439,0.01901831,-1.5758383,-0.09389356,-0.4589008,-0.8056226,0.223038,-1.2680238,0.38874683,-1.3365498,-0.97569853,-1.9742886,-0.7411091,-0.18622935,-0.019158985,0.38714764,0.0654241,-3.5080214,-0.14698231,0.36097735,0.3741945,2.7445314,0.024320945,-1.1182556,0.40930778,-1.5721122,0.51386124,0.35077438,-0.81828016,-2.100054,7.853056,-0.052675128,-2.9928133,-0.000302515,0.17859358,0.1274729,0.6540331,2.7014,0.26155043,-3.4518523,-0.14371505
-0.16089824,0.8012281,-0.21610317,0.5745741,0.46826392,-0.49511385,0.35896838,0.75579166,-0.23219225,-0.5792453,0.37148577,-0.31143636,1.307148,0.14011979,-1.3576536,1.5193347,2.2581542,0.025883444,1.3148049,0.022184646,0.36608672,0.41081452,0.28998098,0.19851789,0.30316705,-0.83481467,0.3357864,-1.2491956,0.009290485,-0.18728147,5.829876,0.104600176,-0.18499014,0.57872534,-0.11560449,0.3409016,0.21008652,-0.22085035,-0.19869387,0.7061656,-1.2175883,6.5211396,-0.2534075,0.010177531,0.20153616,0.23244403,-0.34024155,0.7723271,-0.3611348,-0.9030501
2.6037672,1.6637803,1.016086,0.15805076,0.38289154,2.3632712,0.09840681,2.0793176,1.4041247,1.8226165,0.27562672,2.2633119,0.5929129,-3.9550054,1.7269247,0.24368249,2.049017,0.4883827,-1.3832499,-0.07650021,-1.4517511,-1.3945304,1.9899348,0.34476468,0.29830015,-2.2589655,-1.5250217,-0.2650979,0.13515335,0.67736924,-1.4114218,0.35832107,-1.3663607,0.3120307,1.3969041,0.17420931,0.39142454,-1.4692272,0.13667464,1.3780322,-2.2605824,-4.588369,-0.13218085,2.6568327,2.1378043,0.24078046,2.8705606,0.2577697,-0.43775883,-0.5147722
-1.4834801,1.5310217,0.48213243,0.43393263,0.16429836,1.3299544,-0.13136682,0.42235023,-3.9387975,1.1330577,1.1501139,-0.5257205,0.27433503,-1.695079,-0.49325028,0.80407166,1.3521664,0.8312523,0.77225316,-2.948159,0.05651199,-1.6629336,-0.050429452,0.27246767,0.29754397,1.4810082,-0.2538136,0.5868339,0.3993812,0.21896501,-0.42677826,0.7474381,-1.6613145,0.18880907,1.6712645,0.124755144,0.4381895,-3.8940117,0.21748613,-0.33941698,-1.6954695,-0.20033625,1.6418337,0.6532807,-0.23227042,0.3355958,-0.5271954,0.53384864,0.2232275,-1.7539426
-1.2702247,-0.122488424,0.8108496,0.12631111,0.28081393,0.27431545,0.12988515,1.2750081,1.7988397,-3.3385956,0.61225516,-0.22598055,-0.50446916,3.070672,0.8992202,0.4586929,-1.1273885,0.55600303,-0.19481698,0.58342135,2.472662,2.5330956,1.2461878,0.03511331,0.44793686,-0.017820716,1.2288694,0.3931458,0.4812422,0.8965314,-0.11479947,0.51271063,-0.34233946,0.3069403,3.1948004,0.58122706,0.56791323,-1.3314744,1.3481356,-0.15880682,1.1593968,2.4165816,-1.0698404,-1.7228903,0.19753054,0.6517131,0.93037,0.48259118,2.3460102,1.0712765
-0.4498638,3.1512258,0.4448414,0.69586545,0.34217227,-0.26087847,0.25795305,-1.8469957,0.7722861,-0.15062164,0.061350465,0.18796691,0.61519337,0.40259364,0.29232094,0.49065614,0.6049291,0.60198474,2.4222357,1.1467522,-1.825516,-1.7716944,-1.9420476,0.3555949,0.2872795,0.48373216,0.30595696,0.6977531,0.678271,-0.22376704,0.13356802,0.16274998,-1.7932222,0.24645197,-0.24565342,0.265935,0.24662861,1.0289028,-0.6451589,0.9548386,0.6983328,-0.93105525,-0.06714165,-0.497567,-1.7362705,0.31416816,1.004852,0.39647204,-0.41729212,2.3135526
-1.6206,-1.886541,0.48984888,0.34988764,0.331929,0.32386905,0.3443792,-4.0091286,-0.09082667,0.8998372,1.07686,-0.443136,1.0672754,-0.8650942,0.9731809,-0.11129199,0.73458594,-0.5057906,-0.9349623,-0.7675835,1.9942662,-3.858085,0.9497827,0.27604207,0.67520297,-1.723391,-1.8618826,-1.1778932,0.69896054,0.23540908,0.70101064,-0.009150118,1.0909479,0.3564094,-1.3573447,0.17639782,0.13161436,-0.8384649,0.67489743,-0.66916937,4.5180826,-2.9525313,1.075893,1.4706265,-0.35377395,0.56372297,-4.052877,0.2983563,-0.65219474,3.3184118
1.3856211,-1.8102149,0.65555704,-0.16509637,0.5771811,-0.04933408,0.9343476,0.14237761,0.12465844,-0.5121863,0.211075,6.44001,0.2782501,-0.30474365,0.47440425,0.2733637,3.9195843,0.20616248,-0.81376463,-0.37425146,-1.7077297,1.7270167,0.483306,0.33077335,0.37232125,1.8244596,-0.25675595,0.26939404,0.07980176,0.7734872,0.2878936,0.8820029,-1.5197082,0.06176713,-0.36364302,0.7981687,0.18434992,1.0933595,-0.2140531,-0.34412527,0.57218254,-2.0533204,0.10549969,0.25904655,0.15383369,0.61287516,0.5434749,0.25352967,1.033982,0.399753
-2.5530026,-1.55183,0.86366314,-0.062692806,0.5844159,-0.5866389,0.72300416,-2.3249583,0.0085147545,1.2524205,1.212045,2.1348698,1.0021697,-0.9148287,2.565497,0.18149711,-3.946528,0.30525228,-1.0881556,0.63074154,1.5075353,1.5598648,-1.8024133,-0.025760699,0.19158235,0.13548043,-0.2532598,-0.69165117,0.39683375,-0.49460596,2.383304,0.061460942,0.9860006,0.12876163,-0.03994935,0.36011708,0.24747813,-0.6908831,-0.9692584,-0.34716383,0.93296134,-2.4395792,-3.6977377,-0.91157913,0.068990596,0.09357028,-3.1067228,0.4357892,-0.48040095,0.30587825
-2.3024228,1.1545027,0.109565936,0.20464602,0.6904682,4.584285,0.50042087,-0.22708693,-0.88726187,-1.1379454,0.5424276,1.216723,0.3691466,-1.3805687,-0.17775759,0.72834754,0.7211077,0.39985412,0.0815093,0.90944797,0.48716378,-0.16422926,-0.53547287,0.4973158,0.7776058,1.3437195,0.35571086,-0.18594523,0.67567414,-0.22937226,-1.1822636,0.34085995,-1.1766241,0.54164195,-2.249064,0.41695368,0.30048943,0.03262563,2.3367157,-2.4128675,-0.19147417,-1.8542268,-0.51439345,-0.18912186,-0.2400441,0.330563,-0.5145436,0.37354162,2.4855971,0.50627375
