Shuffle_1_pred_train,Shuffle_1_train,Shuffle_2_pred_train,Shuffle_2_train,Shuffle_3_pred_train,Shuffle_3_train,Shuffle_4_pred_train,Shuffle_4_train,Shuffle_5_pred_train,Shuffle_5_train,Shuffle_6_pred_train,Shuffle_6_train,Shuffle_7_pred_train,Shuffle_7_train,Shuffle_8_pred_train,Shuffle_8_train,Shuffle_9_pred_train,Shuffle_9_train,Shuffle_10_pred_train,Shuffle_10_train,Shuffle_11_pred_train,Shuffle_11_train,Shuffle_12_pred_train,Shuffle_12_train,Shuffle_13_pred_train,Shuffle_13_train,Shuffle_14_pred_train,Shuffle_14_train,Shuffle_15_pred_train,Shuffle_15_train,Shuffle_16_pred_train,Shuffle_16_train,Shuffle_17_pred_train,Shuffle_17_train,Shuffle_18_pred_train,Shuffle_18_train,Shuffle_19_pred_train,Shuffle_19_train,Shuffle_20_pred_train,Shuffle_20_train,Shuffle_21_pred_train,Shuffle_21_train,Shuffle_22_pred_train,Shuffle_22_train,Shuffle_23_pred_train,Shuffle_23_train,Shuffle_24_pred_train,Shuffle_24_train,Shuffle_25_pred_train,Shuffle_25_train,Shuffle_26_pred_train,Shuffle_26_train,Shuffle_27_pred_train,Shuffle_27_train,Shuffle_28_pred_train,Shuffle_28_train,Shuffle_29_pred_train,Shuffle_29_train,Shuffle_30_pred_train,Shuffle_30_train,Shuffle_31_pred_train,Shuffle_31_train,Shuffle_32_pred_train,Shuffle_32_train,Shuffle_33_pred_train,Shuffle_33_train,Shuffle_34_pred_train,Shuffle_34_train,Shuffle_35_pred_train,Shuffle_35_train,Shuffle_36_pred_train,Shuffle_36_train,Shuffle_37_pred_train,Shuffle_37_train,Shuffle_38_pred_train,Shuffle_38_train,Shuffle_39_pred_train,Shuffle_39_train,Shuffle_40_pred_train,Shuffle_40_train,Shuffle_41_pred_train,Shuffle_41_train,Shuffle_42_pred_train,Shuffle_42_train,Shuffle_43_pred_train,Shuffle_43_train,Shuffle_44_pred_train,Shuffle_44_train,Shuffle_45_pred_train,Shuffle_45_train,Shuffle_46_pred_train,Shuffle_46_train,Shuffle_47_pred_train,Shuffle_47_train,Shuffle_48_pred_train,Shuffle_48_train,Shuffle_49_pred_train,Shuffle_49_train,Shuffle_50_pred_train,Shuffle_50_train
0.3390086,0,0.94046444,1,0.98516047,1,0.966405,1,0.99379694,1,0.98851097,1,0.9850134,1,0.9788994,1,0.98996544,1,0.99380624,1,0.98489743,1,0.87440777,1,0.03442369,0,0.983826,1,0.9882684,1,0.8716425,1,0.99296665,1,0.9961927,1,0.975548,1,0.916863,1,0.16253772,0,0.9822031,1,0.36034444,0,0.07381072,0,0.97188437,1,0.9642228,1,0.77980065,1,0.9459784,1,0.9614596,1,0.99780506,1,0.94937336,1,0.9799232,1,0.9838065,1,0.94998974,1,0.9837129,1,0.94012505,1,0.9589373,1,0.96238834,1,0.99036145,1,0.98144287,1,0.9062328,1,0.9686459,1,0.9468643,1,0.97792757,1,0.99482995,1,0.08162832,0,0.34410247,0,0.016925732,0,0.95490026,1,0.99704933,1
0.96965665,1,0.9561733,1,0.9726049,1,0.0723906,0,0.97946095,1,0.9890989,1,0.9943328,1,0.9658094,1,0.98332477,1,0.9602328,1,0.960916,1,0.9220607,1,0.9972958,1,0.9807349,1,0.9406695,1,0.12628242,0,0.066739805,0,0.98626256,1,0.16228177,0,0.9235433,1,0.95974183,1,0.9585169,1,0.9658908,1,0.9513134,1,0.94351894,1,0.12724802,0,0.485426,0,0.9871603,1,0.99334973,1,0.989131,1,0.9561053,1,0.15947291,0,0.029719545,0,0.97923684,1,0.34622717,0,0.9698281,1,0.28673258,0,0.9860621,1,0.9198992,1,0.99432015,1,0.97997755,1,0.2640566,0,0.2597022,0,0.975031,1,0.980756,1,0.8731427,1,0.97612596,1,0.99055755,1,0.8647559,1,0.91136754,1
0.9825004,1,0.21327376,0,0.974312,1,0.98612493,1,0.9882039,1,0.95942324,1,0.99774605,1,0.9728539,1,0.9830657,1,0.9825768,1,0.9960134,1,0.9505453,1,0.09861077,0,0.094429396,0,0.97795427,1,0.9952663,1,0.0926551,0,0.98957485,1,0.94615936,1,0.90461373,1,0.9511685,1,0.14214043,0,0.10994518,0,0.9885501,1,0.9723943,1,0.37691903,0,0.48900643,0,0.9895079,1,0.9583503,1,0.1896054,0,0.99568766,1,0.97232336,1,0.15182447,0,0.1852707,0,0.95089895,1,0.18009351,0,0.9473317,1,0.98378724,1,0.9571111,1,0.6932244,1,0.98487675,1,0.977276,1,0.9367743,1,0.950342,1,0.12234809,0,0.18514848,0,0.9627875,1,0.0996366,0,0.44096753,0,0.9927229,1
0.074240826,0,0.37353557,0,0.9551967,1,0.9487359,1,0.98042727,1,0.9361274,1,0.98083615,1,0.959919,1,0.98912734,1,0.9945551,1,0.92166495,1,0.93735296,1,0.9966904,1,0.99032074,1,0.9961642,1,0.8206381,1,0.8799257,1,0.9648635,1,0.96252793,1,0.88326234,1,0.94438285,1,0.97412837,1,0.97210294,1,0.96787035,1,0.784278,1,0.3015631,0,0.18019335,0,0.9746314,1,0.9677948,1,0.8957824,1,0.94224644,1,0.93046373,1,0.9883818,1,0.98272586,1,0.96892405,1,0.96862656,1,0.87834936,1,0.93738145,1,0.98796564,1,0.9915587,1,0.23856048,0,0.9351847,1,0.91548127,1,0.9819196,1,0.9201254,1,0.2847619,0,0.9371624,1,0.9684995,1,0.9606942,1,0.07413425,0
0.9564149,1,0.8910233,1,0.97077864,1,0.08757026,0,0.0414238,0,0.9831571,1,0.9061909,1,0.946435,1,0.96711046,1,0.99039537,1,0.990945,1,0.12307686,0,0.04000738,0,0.9988612,1,0.98562163,1,0.12360534,0,0.21492392,0,0.99902534,1,0.044588648,0,0.8523962,1,0.9072473,1,0.9757642,1,0.9908083,1,0.9882273,1,0.95495874,1,0.8878196,1,0.8826698,1,0.9876649,1,0.9474872,1,0.97487676,1,0.9981048,1,0.99127686,1,0.98363954,1,0.97789055,1,0.97608113,1,0.96456724,1,0.8517218,1,0.17987067,0,0.9933635,1,0.20252152,0,0.9477802,1,0.99053687,1,0.98581475,1,0.98388046,1,0.91654646,1,0.9114494,1,0.9822923,1,0.19210318,0,0.54747623,0,0.9974247,1
0.12487996,0,0.98891187,1,0.9620764,1,0.9908601,1,0.016426906,0,0.22349106,0,0.9955503,1,0.98338044,1,0.46568307,0,0.97196215,1,0.96494204,1,0.9572543,1,0.9874653,1,0.99745315,1,0.979916,1,0.39638498,0,0.9673373,1,0.9888679,1,0.9913487,1,0.9171221,1,0.095065795,0,0.98866177,1,0.9591509,1,0.9782495,1,0.9418687,1,0.84745824,1,0.6086204,0,0.99316794,1,0.9845895,1,0.9310187,1,0.9896436,1,0.9557333,1,0.98325217,1,0.98642296,1,0.9933689,1,0.96618897,1,0.9785356,1,0.07488639,0,0.95207584,1,0.9732354,1,0.97646767,1,0.98264563,1,0.70806986,1,0.09428639,0,0.8432842,1,0.9792029,1,0.9918208,1,0.98610073,1,0.9439914,1,0.91333157,1
0.9327045,1,0.158649,0,0.93614256,1,0.9603531,1,0.99700207,1,0.9657417,1,0.9789307,1,0.9547177,1,0.9782949,1,0.98918766,1,0.9774604,1,0.27323014,0,0.93906504,1,0.9908002,1,0.9720248,1,0.18646741,0,0.98863363,1,0.9916813,1,0.079856984,0,0.9056979,1,0.48053396,0,0.3220068,0,0.10304977,0,0.96876377,1,0.97289467,1,0.95202893,1,0.81705517,1,0.9364839,1,0.96382374,1,0.9258132,1,0.9694672,1,0.2023289,0,0.97306955,1,0.19935484,0,0.9062293,1,0.98704857,1,0.95951986,1,0.95732266,1,0.2591746,0,0.019393275,0,0.98167783,1,0.982226,1,0.9346839,1,0.9791778,1,0.99090135,1,0.9348363,1,0.15683568,0,0.9880094,1,0.9511025,1,0.9788872,1
0.9630219,1,0.94951165,1,0.9333646,1,0.99109143,1,0.99892235,1,0.9111016,1,0.99427265,1,0.28483343,0,0.9649334,1,0.99255955,1,0.99489874,1,0.8924611,1,0.97434163,1,0.9767461,1,0.109241426,0,0.9493738,1,0.9754381,1,0.93788946,1,0.10370975,0,0.8531046,1,0.9627618,1,0.9900877,1,0.03698078,0,0.9522534,1,0.96023595,1,0.94711214,1,0.8853567,1,0.15890552,0,0.22110279,0,0.9870209,1,0.47637254,0,0.11409229,0,0.9878885,1,0.98874855,1,0.9588576,1,0.9926802,1,0.9966299,1,0.9706096,1,0.98236656,1,0.9193545,1,0.14054921,0,0.93777215,1,0.9054389,1,0.9954057,1,0.92592007,1,0.21642944,0,0.95196015,1,0.9959122,1,0.9746602,1,0.9599797,1
0.9767919,1,0.9404621,1,0.9342021,1,0.9020508,1,0.99810225,1,0.9905252,1,0.9975539,1,0.8409237,1,0.935248,1,0.15271151,0,0.9952779,1,0.35473597,0,0.9941613,1,0.9978363,1,0.95504576,1,0.8356086,1,0.9797703,1,0.9371072,1,0.3443685,0,0.7736798,1,0.9837683,1,0.98873806,1,0.9103201,1,0.98254657,1,0.85326624,1,0.98507184,1,0.58775526,0,0.97301596,1,0.9709886,1,0.88589764,1,0.9854795,1,0.9660561,1,0.97144574,1,0.1310742,0,0.15883231,0,0.98635614,1,0.99167,1,0.96478283,1,0.122909576,0,0.9777009,1,0.981934,1,0.98351234,1,0.10031987,0,0.33681342,0,0.9791996,1,0.9231272,1,0.946895,1,0.9953348,1,0.97810966,1,0.9876807,1
0.9735345,1,0.92947733,1,0.970423,1,0.20235662,0,0.06752519,0,0.20184197,0,0.95814145,1,0.97881967,1,0.077249676,0,0.98116195,1,0.9880823,1,0.91751665,1,0.9784386,1,0.95731145,1,0.9697824,1,0.93405575,1,0.9869779,1,0.1316789,0,0.19338599,0,0.37520924,0,0.97313356,1,0.985995,1,0.9769671,1,0.9491638,1,0.97590524,1,0.9909847,1,0.9154486,1,0.9258039,1,0.9443604,1,0.087341964,0,0.13009177,0,0.24052474,0,0.97803545,1,0.17195958,0,0.99469286,1,0.96571165,1,0.9665695,1,0.9892832,1,0.98859054,1,0.8360393,1,0.8955481,1,0.9478755,1,0.9107523,1,0.9782292,1,0.79976934,1,0.9398691,1,0.2753044,0,0.98715556,1,0.8957117,1,0.99194735,1
