Shuffle_1_pred_train,Shuffle_1_train,Shuffle_2_pred_train,Shuffle_2_train,Shuffle_3_pred_train,Shuffle_3_train,Shuffle_4_pred_train,Shuffle_4_train,Shuffle_5_pred_train,Shuffle_5_train,Shuffle_6_pred_train,Shuffle_6_train,Shuffle_7_pred_train,Shuffle_7_train,Shuffle_8_pred_train,Shuffle_8_train,Shuffle_9_pred_train,Shuffle_9_train,Shuffle_10_pred_train,Shuffle_10_train,Shuffle_11_pred_train,Shuffle_11_train,Shuffle_12_pred_train,Shuffle_12_train,Shuffle_13_pred_train,Shuffle_13_train,Shuffle_14_pred_train,Shuffle_14_train,Shuffle_15_pred_train,Shuffle_15_train,Shuffle_16_pred_train,Shuffle_16_train,Shuffle_17_pred_train,Shuffle_17_train,Shuffle_18_pred_train,Shuffle_18_train,Shuffle_19_pred_train,Shuffle_19_train,Shuffle_20_pred_train,Shuffle_20_train,Shuffle_21_pred_train,Shuffle_21_train,Shuffle_22_pred_train,Shuffle_22_train,Shuffle_23_pred_train,Shuffle_23_train,Shuffle_24_pred_train,Shuffle_24_train,Shuffle_25_pred_train,Shuffle_25_train,Shuffle_26_pred_train,Shuffle_26_train,Shuffle_27_pred_train,Shuffle_27_train,Shuffle_28_pred_train,Shuffle_28_train,Shuffle_29_pred_train,Shuffle_29_train,Shuffle_30_pred_train,Shuffle_30_train,Shuffle_31_pred_train,Shuffle_31_train,Shuffle_32_pred_train,Shuffle_32_train,Shuffle_33_pred_train,Shuffle_33_train,Shuffle_34_pred_train,Shuffle_34_train,Shuffle_35_pred_train,Shuffle_35_train,Shuffle_36_pred_train,Shuffle_36_train,Shuffle_37_pred_train,Shuffle_37_train,Shuffle_38_pred_train,Shuffle_38_train,Shuffle_39_pred_train,Shuffle_39_train,Shuffle_40_pred_train,Shuffle_40_train,Shuffle_41_pred_train,Shuffle_41_train,Shuffle_42_pred_train,Shuffle_42_train,Shuffle_43_pred_train,Shuffle_43_train,Shuffle_44_pred_train,Shuffle_44_train,Shuffle_45_pred_train,Shuffle_45_train,Shuffle_46_pred_train,Shuffle_46_train,Shuffle_47_pred_train,Shuffle_47_train,Shuffle_48_pred_train,Shuffle_48_train,Shuffle_49_pred_train,Shuffle_49_train,Shuffle_50_pred_train,Shuffle_50_train
0.18815722,0,0.057182122,0,0.19599949,0,0.074123845,0,0.08213006,0,0.9843217,1,0.9763575,1,0.9716855,1,0.0158139,0,0.0064856266,0,0.7455664,1,0.0035918478,0,0.7926583,1,0.7423585,1,0.9657914,1,0.8819203,1,0.02143531,0,0.101891704,0,0.69116414,1,0.62543356,1,0.9681972,1,0.90961504,1,0.9685193,1,0.10201001,0,0.9965913,1,0.18009329,0,0.11897221,0,0.0031035864,0,0.9945082,1,0.08688573,0,0.24587524,0,0.9962942,1,0.9609485,1,0.98557633,1,0.7675341,1,0.06312211,0,0.14996272,0,0.54648185,1,0.995837,1,0.95670277,1,0.99761295,1,0.9310067,1,0.7199608,1,0.0996846,0,0.052098345,0,0.02764408,0,0.010921673,0,0.00379696,0,0.5016413,0,0.035129778,0
0.013271583,0,0.6279621,1,0.9305863,1,0.04980741,0,0.033544276,0,0.9970739,1,0.015097991,0,0.0068360455,0,0.98468715,1,0.9915229,1,0.76204306,1,0.05430983,0,0.012108346,0,0.09218219,0,0.85063183,1,0.2730587,0,0.96067274,1,0.25228843,0,0.99364424,1,0.033801753,0,0.009704379,0,0.45532218,0,0.9360748,1,0.98871136,1,0.9996195,1,0.05970593,0,0.9853115,1,0.028138908,0,0.010821112,0,0.99154586,1,0.11888938,0,0.01218074,0,0.005254216,0,0.12682371,0,0.5856956,0,0.99066156,1,0.98372585,1,0.05239273,0,0.0020579866,0,0.980076,1,0.9761871,1,0.9503755,1,0.008009137,0,0.06438458,0,0.9782065,1,0.96620095,1,0.006115896,0,0.99822587,1,0.58100826,1,0.1315203,0
0.016176738,0,0.9503611,1,0.081073105,0,0.008593034,0,0.16868642,0,0.9964665,1,0.13405237,0,0.9828541,1,0.9635392,1,0.9862174,1,0.6549023,0,0.95497084,1,0.030264614,0,0.446455,1,0.12012929,0,0.9864472,1,0.1398243,0,0.98299843,1,0.9916495,1,0.008517006,0,0.030099284,0,0.8212614,1,0.9703761,1,0.1627483,0,0.023725588,0,0.06023557,0,0.9880756,1,0.9976814,1,0.99801576,1,0.014598538,0,0.95924073,1,0.9818671,1,0.95501095,1,0.015560169,0,0.2977703,0,0.83995837,1,0.9916373,1,0.6437918,0,0.10528645,0,0.92239946,1,0.9657967,1,0.6941976,1,0.22342838,0,0.024583353,0,0.98555815,1,0.980082,1,0.13789068,0,0.9597185,1,0.99087614,1,0.97208494,1
0.03528243,0,0.5902937,1,0.9910746,1,0.9757151,1,0.96397114,1,0.97950363,1,0.94398963,1,0.92167294,1,0.9899567,1,0.016370377,0,0.7665252,1,0.008686072,0,0.9660039,1,0.16959432,0,0.056915246,0,0.15132752,0,0.07271598,0,0.95102507,1,0.1449367,0,0.9928901,1,0.9773612,1,0.9928289,1,0.83992344,1,0.26743975,0,0.9831361,1,0.9511809,1,0.1822776,0,0.11633492,0,0.9888209,1,0.018215202,0,0.033231724,0,0.06435104,0,0.003952138,0,0.19796954,0,0.72939926,1,0.96676517,1,0.9934282,1,0.0323961,0,0.014889204,0,0.884826,1,0.9941421,1,0.94979787,1,0.98563844,1,0.97747225,1,0.12326092,0,0.38399267,0,0.031166954,0,0.01756243,0,0.9627187,1,0.9119091,1
0.92435646,1,0.111063905,0,0.9457886,1,0.9986279,1,0.09071788,0,0.99368143,1,0.834507,1,0.006997491,0,0.12393475,0,0.9901931,1,0.1998012,0,0.27242213,0,0.91675097,1,0.04629104,0,0.037200693,0,0.9315734,1,0.0075355284,0,0.9926925,1,0.6329773,0,0.90424037,1,0.6617532,1,0.036908794,0,0.9782103,1,0.016948804,0,0.0013513821,0,0.057569433,0,0.1629598,0,0.0039040481,0,0.9954555,1,0.9898651,1,0.9375248,1,0.83035415,1,0.9670534,1,0.81844157,1,0.66251653,1,0.9540423,1,0.01266836,0,0.8755423,1,0.9527572,1,0.0066088624,0,0.9715191,1,0.21901909,0,0.10059159,0,0.01863616,0,0.037808456,0,0.98711896,1,0.0022377837,0,0.9401326,1,0.912061,1,0.98850447,1
0.01673782,0,0.05064131,0,0.85406905,0,0.07456286,0,0.10234766,0,0.96691716,1,0.027839687,0,0.06376355,0,0.97939897,1,0.029900797,0,0.20712355,0,0.9113994,1,0.042975344,0,0.05476215,0,0.9907603,1,0.8341404,1,0.98380685,1,0.030085357,0,0.15122363,0,0.9690155,1,0.9766402,1,0.027254337,0,0.22246628,0,0.96565676,1,0.013857222,0,0.9125038,1,0.92098784,1,0.014166099,0,0.9515469,1,0.09672733,0,0.94954157,1,0.8887705,1,0.04769885,0,0.016720768,0,0.24613619,0,0.012321468,0,0.039509263,0,0.8856522,1,0.008878271,0,0.92190456,1,0.0030103708,0,0.10838096,0,0.92718786,1,0.32510942,0,0.048156757,0,0.021385074,0,0.16587351,0,0.9829726,1,0.0135982195,0,0.95283943,1
0.9918162,1,0.07786831,0,0.78189427,1,0.997934,1,0.9742647,1,0.9953425,1,0.8141065,1,0.9937105,1,0.89209896,1,0.13100724,0,0.46658683,0,0.02357019,0,0.9607851,1,0.01075,0,0.0020110023,0,0.020944474,0,0.19152658,0,0.9008995,1,0.013308707,0,0.013011406,0,0.027859155,0,0.9070512,1,0.023553668,0,0.91496456,1,0.9858467,1,0.65910184,1,0.0073961667,0,0.011232304,0,0.002234979,0,0.013083086,0,0.984694,1,0.005924345,0,0.0016228828,0,0.012931692,0,0.2472733,0,0.9796403,1,0.024207463,0,0.24079594,0,0.99394965,1,0.990562,1,0.99282986,1,0.057996396,0,0.93151623,1,0.9486107,1,0.027847929,0,0.81326187,1,0.999318,1,0.99696773,1,0.044386588,0,0.0068063294,0
0.9750344,1,0.06591916,0,0.09375617,0,0.90412533,1,0.020228457,0,0.990668,1,0.023147037,0,0.9931259,1,0.04332891,0,0.06584939,0,0.22311224,0,0.98831546,1,0.03223333,0,0.117806725,0,0.6658915,1,0.9663068,1,0.06519714,0,0.07323929,0,0.09287086,0,0.95957947,1,0.91426337,1,0.26717326,0,0.040409535,0,0.07253354,0,0.9314051,1,0.8696773,1,0.97484916,1,0.014395793,0,0.98685884,1,0.011331059,0,0.9823346,1,0.96572024,1,0.9871459,1,0.06150619,0,0.78681546,1,0.122725934,0,0.024770718,0,0.8524523,1,0.0012064179,0,0.024960341,0,0.99241334,1,0.11582897,0,0.8033845,1,0.96930516,1,0.020189365,0,0.12398603,0,0.97911274,1,0.9979025,1,0.11261921,0,0.015888667,0
0.9842259,1,0.42536893,1,0.0121288225,0,0.99271905,1,0.9841376,1,0.0018912948,0,0.9840612,1,0.9924263,1,0.9188937,1,0.008465633,0,0.7534603,1,0.9915005,1,0.977367,1,0.9901603,1,0.979384,1,0.9853339,1,0.90923965,1,0.9377892,1,0.77766025,1,0.24635375,0,0.018248634,0,0.0081619285,0,0.90727115,1,0.85603756,1,0.033948485,0,0.123293534,0,0.9864522,1,0.032056388,0,0.994369,1,0.013040255,0,0.010988803,0,0.03482591,0,0.116453916,0,0.011720494,0,0.77620614,1,0.99621034,1,0.9976113,1,0.83531314,1,0.007903642,0,0.093310565,0,0.011324234,0,0.0720687,0,0.95437557,1,0.9811694,1,0.995089,1,0.032171186,0,0.003771244,0,0.0022181442,0,0.98782873,1,0.9943962,1
0.089711495,0,0.6314377,1,0.102977134,0,0.9765301,1,0.9786644,1,0.9539742,1,0.054969408,0,0.044597484,0,0.990343,1,0.9961243,1,0.78171855,1,0.8486931,1,0.9883613,1,0.9646157,1,0.9290019,1,0.83977866,1,0.96331835,1,0.6766269,1,0.028800622,0,0.94863063,1,0.9625362,1,0.9942958,1,0.030142114,0,0.96927357,1,0.8723587,1,0.89943844,1,0.9740441,1,0.9960328,1,0.043089494,0,0.7457288,1,0.026724733,0,0.98789984,1,0.0029244118,0,0.8919156,1,0.2381808,0,0.037669234,0,0.06937112,0,0.91596067,1,0.0025249945,0,0.053605385,0,0.004600809,0,0.64196664,1,0.98602575,1,0.94184345,1,0.14486435,0,0.97965676,1,0.88282335,1,0.09165717,0,0.60739744,1,0.013149476,0
