Shuffle_1_pred_train,Shuffle_1_train,Shuffle_2_pred_train,Shuffle_2_train,Shuffle_3_pred_train,Shuffle_3_train,Shuffle_4_pred_train,Shuffle_4_train,Shuffle_5_pred_train,Shuffle_5_train,Shuffle_6_pred_train,Shuffle_6_train,Shuffle_7_pred_train,Shuffle_7_train,Shuffle_8_pred_train,Shuffle_8_train,Shuffle_9_pred_train,Shuffle_9_train,Shuffle_10_pred_train,Shuffle_10_train,Shuffle_11_pred_train,Shuffle_11_train,Shuffle_12_pred_train,Shuffle_12_train,Shuffle_13_pred_train,Shuffle_13_train,Shuffle_14_pred_train,Shuffle_14_train,Shuffle_15_pred_train,Shuffle_15_train,Shuffle_16_pred_train,Shuffle_16_train,Shuffle_17_pred_train,Shuffle_17_train,Shuffle_18_pred_train,Shuffle_18_train,Shuffle_19_pred_train,Shuffle_19_train,Shuffle_20_pred_train,Shuffle_20_train,Shuffle_21_pred_train,Shuffle_21_train,Shuffle_22_pred_train,Shuffle_22_train,Shuffle_23_pred_train,Shuffle_23_train,Shuffle_24_pred_train,Shuffle_24_train,Shuffle_25_pred_train,Shuffle_25_train,Shuffle_26_pred_train,Shuffle_26_train,Shuffle_27_pred_train,Shuffle_27_train,Shuffle_28_pred_train,Shuffle_28_train,Shuffle_29_pred_train,Shuffle_29_train,Shuffle_30_pred_train,Shuffle_30_train,Shuffle_31_pred_train,Shuffle_31_train,Shuffle_32_pred_train,Shuffle_32_train,Shuffle_33_pred_train,Shuffle_33_train,Shuffle_34_pred_train,Shuffle_34_train,Shuffle_35_pred_train,Shuffle_35_train,Shuffle_36_pred_train,Shuffle_36_train,Shuffle_37_pred_train,Shuffle_37_train,Shuffle_38_pred_train,Shuffle_38_train,Shuffle_39_pred_train,Shuffle_39_train,Shuffle_40_pred_train,Shuffle_40_train,Shuffle_41_pred_train,Shuffle_41_train,Shuffle_42_pred_train,Shuffle_42_train,Shuffle_43_pred_train,Shuffle_43_train,Shuffle_44_pred_train,Shuffle_44_train,Shuffle_45_pred_train,Shuffle_45_train,Shuffle_46_pred_train,Shuffle_46_train,Shuffle_47_pred_train,Shuffle_47_train,Shuffle_48_pred_train,Shuffle_48_train,Shuffle_49_pred_train,Shuffle_49_train,Shuffle_50_pred_train,Shuffle_50_train
0.77685165,1,0.5036944,0,0.2971574,0,0.0815498,0,0.738217,1,0.23498413,0,0.9712742,1,0.17619315,0,0.60232985,1,0.18419044,0,0.3991971,0,0.9205845,1,0.43619403,0,0.7850025,1,0.65487295,1,0.7932088,1,0.25755447,0,0.110505134,0,0.79503965,1,0.863418,1,0.2584011,0,0.8236976,1,0.83893335,1,0.63624567,1,0.80347294,1,0.61639696,1,0.527696,0,0.9169357,1,0.8844318,1,0.01785297,0,0.64381886,1,0.3507035,0,0.8789777,1,0.25441206,0,0.75695944,1,0.60570586,0,0.4927177,0,0.08355672,0,0.95453465,1,0.75638056,1,0.5831909,1,0.61435163,1,0.646339,1,0.24763972,0,0.96519876,1,0.900732,1,0.65745384,1,0.769303,1,0.37263662,0,0.8733099,1
0.20288615,0,0.5841515,1,0.81710786,1,0.98695546,1,0.3759271,0,0.8618705,1,0.039406795,0,0.21217513,0,0.656249,1,0.91935754,1,0.6673118,1,0.87971884,1,0.50554913,0,0.4710419,0,0.85261154,1,0.44818813,0,0.35831115,0,0.17519107,0,0.115361676,0,0.92761624,1,0.9528995,1,0.07661319,0,0.8042322,1,0.5189119,0,0.92122304,1,0.54330444,0,0.5103424,0,0.41019526,0,0.91472906,1,0.9672267,1,0.8941721,1,0.8150108,1,0.19340506,0,0.906317,1,0.9350913,1,0.6043729,1,0.44466355,0,0.2753165,0,0.8201773,1,0.6803793,1,0.62323076,1,0.6672864,1,0.6258768,1,0.18320996,0,0.07476058,0,0.35194594,0,0.5773698,0,0.18142141,0,0.62517947,1,0.2261161,0
0.74143094,1,0.5508182,0,0.16863023,0,0.030736955,0,0.67843026,0,0.82810414,1,0.03624415,0,0.9531663,1,0.4865818,0,0.90784425,1,0.5769419,1,0.8783134,1,0.8305332,1,0.51957756,0,0.8105314,1,0.78753203,1,0.39106593,0,0.9152628,1,0.8254499,1,0.21832688,0,0.085039146,0,0.90872,1,0.40990293,0,0.6342437,1,0.77406555,1,0.6306804,1,0.51227623,0,0.71773946,1,0.8256292,1,0.96174794,1,0.90280503,1,0.7913396,1,0.8026212,1,0.92517644,1,0.9372128,1,0.6581548,1,0.7384397,1,0.038080666,0,0.9267439,1,0.25772297,0,0.6289965,1,0.6684895,1,0.6509869,1,0.8803355,1,0.98119926,1,0.9262831,1,0.61461407,1,0.8952185,1,0.61233217,1,0.82959795,1
0.72001994,1,0.5416388,0,0.83163697,1,0.018193832,0,0.24289812,0,0.7510905,1,0.9882752,1,0.16598956,0,0.6450844,1,0.94321275,1,0.5727668,1,0.54440194,0,0.24484965,0,0.8585791,1,0.37066343,0,0.6879942,1,0.8318726,1,0.95379436,1,0.7945017,1,0.9155841,1,0.9879216,1,0.9401749,1,0.6006563,1,0.6121759,1,0.18921466,0,0.6117966,1,0.5691406,1,0.21983214,0,0.17991959,0,0.9651229,1,0.38870758,0,0.862958,1,0.8530605,1,0.05202489,0,0.22435069,0,0.5649583,1,0.7047792,0,0.9414825,1,0.37421966,0,0.6301917,1,0.6462245,1,0.55459654,0,0.5532464,0,0.9634127,1,0.040633533,0,0.2357573,0,0.59609365,1,0.7131226,1,0.5699179,1,0.9191507,1
0.76859,1,0.61140466,1,0.8621632,1,0.039733574,0,0.47228488,0,0.42064902,0,0.96527904,1,0.9448021,1,0.638712,1,0.15368052,0,0.48762745,0,0.16778351,0,0.7006641,1,0.3888143,0,0.20708303,0,0.8096556,1,0.48663804,0,0.89453655,1,0.76633143,1,0.73671454,1,0.96341836,1,0.9262408,1,0.5747749,1,0.631102,1,0.9066757,1,0.6372209,1,0.50770694,0,0.69884473,1,0.83685964,1,0.8915352,1,0.61024517,0,0.38586092,0,0.8898318,1,0.925174,1,0.8434327,1,0.65488756,1,0.4859541,0,0.13541123,0,0.890119,1,0.6371027,1,0.6045466,1,0.70277923,1,0.59310055,1,0.9804381,1,0.049205635,0,0.21455605,0,0.59010714,1,0.105232574,0,0.5948193,1,0.31473345,0
0.6074569,1,0.5397913,1,0.9363902,1,0.9762279,1,0.6883639,1,0.5750319,1,0.9233234,1,0.93014807,1,0.511654,0,0.8232809,1,0.6558263,1,0.12958288,0,0.25370792,0,0.66822004,1,0.7843671,1,0.9338587,1,0.7568675,1,0.9608203,1,0.5216551,1,0.36085263,0,0.05923308,0,0.104022466,0,0.83874714,1,0.5794632,1,0.6704937,1,0.5217785,0,0.5947894,1,0.200802,0,0.17752656,0,0.031386055,0,0.8115572,1,0.8366766,1,0.9350111,1,0.8866532,1,0.77183276,1,0.4382422,0,0.59908223,1,0.95903355,1,0.9401569,1,0.31776088,0,0.44753927,0,0.71162057,1,0.523604,0,0.9457048,1,0.032344602,0,0.6762239,1,0.620595,0,0.15107226,0,0.71704674,1,0.90190566,1
0.6153517,1,0.6275,1,0.89409924,1,0.04078483,0,0.7422301,1,0.5612987,0,0.9159881,1,0.9471846,1,0.6750897,1,0.905791,1,0.6384957,1,0.2644948,0,0.29425216,0,0.3009628,0,0.20920473,0,0.7874015,1,0.8897812,1,0.24145573,0,0.4338583,0,0.20757776,0,0.94497335,1,0.06792409,0,0.68002504,1,0.535494,0,0.11086062,0,0.47805744,0,0.62193197,1,0.4505071,0,0.95372146,1,0.95279354,1,0.43288767,0,0.8502042,1,0.8456011,1,0.94829434,1,0.94915426,1,0.4692477,0,0.4862473,0,0.81824255,1,0.9338362,1,0.6973947,1,0.43123493,0,0.46177995,0,0.5521749,1,0.8911548,1,0.088827044,0,0.8784401,1,0.5882313,1,0.83847076,1,0.4210601,0,0.26745015,0
0.780425,1,0.5622646,1,0.25728458,0,0.067807935,0,0.3194663,0,0.7390273,1,0.08835779,0,0.09514865,0,0.4074028,0,0.9618867,1,0.4079002,0,0.8696049,1,0.28226805,0,0.32515806,0,0.2572924,0,0.8746987,1,0.90768707,1,0.14466928,0,0.3958527,0,0.70986396,1,0.9776815,1,0.9511956,1,0.29585728,0,0.57574624,1,0.89812493,1,0.5832659,1,0.5673263,1,0.26053342,0,0.8990702,1,0.9720186,1,0.388314,0,0.7117758,1,0.96361715,1,0.8972278,1,0.96498144,1,0.6692016,1,0.611811,1,0.94224864,1,0.95813435,1,0.40496305,0,0.6276449,1,0.6802208,1,0.55114084,1,0.051825337,0,0.02221655,0,0.29605237,0,0.5423787,1,0.95239806,1,0.38873285,0,0.25835064,0
0.48151204,0,0.5045797,0,0.21753114,0,0.9104586,1,0.35939345,0,0.8580461,1,0.9163715,1,0.94011503,1,0.65111303,1,0.13440444,0,0.64185184,1,0.8463351,1,0.31163082,0,0.90677017,1,0.25051996,0,0.3032351,0,0.89082855,1,0.9437962,1,0.8503535,1,0.24265443,0,0.8941382,1,0.068413064,0,0.78545535,1,0.5270492,0,0.0689241,0,0.58465004,0,0.5815364,1,0.8702125,1,0.10308532,0,0.05633783,0,0.81366235,1,0.80459034,1,0.10156773,0,0.962683,1,0.29668853,0,0.5883841,0,0.615076,1,0.1607408,0,0.10768685,0,0.9349149,1,0.6304935,1,0.66000885,1,0.5900828,1,0.11641146,0,0.95120853,1,0.17827581,0,0.6467216,1,0.9077573,1,0.6587308,1,0.9169938,1
0.841049,1,0.57390505,0,0.93142945,1,0.9363957,1,0.3702434,0,0.7331224,1,0.1640932,0,0.11887924,0,0.7016529,1,0.16267547,0,0.385205,0,0.21061753,0,0.7734134,1,0.72027624,0,0.87956554,1,0.17452523,0,0.3155767,0,0.9356773,1,0.93704224,1,0.78353477,1,0.8966108,1,0.8984429,1,0.7748555,1,0.57687205,1,0.9577285,1,0.48396745,0,0.6212544,1,0.36070225,0,0.881511,1,0.05500375,0,0.704449,1,0.40817913,0,0.071085274,0,0.18723238,0,0.14944734,0,0.46419647,0,0.5539465,0,0.964308,1,0.92970496,1,0.9407476,1,0.5920842,1,0.41730204,0,0.6133385,1,0.921606,1,0.97099304,1,0.754816,1,0.530685,0,0.8895985,1,0.4547597,0,0.06376827,0
